批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		9677246885912557",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9677246885912557,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1486481254732182",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1486481254732182,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7609068928054525",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7609068928054525,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0014937474805733",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0014937474805733,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3424003394839089",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3424003394839089,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1041315154211655",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1041315154211655,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0791834773174976",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0791834773174976,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9173235878094545",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9173235878094545,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3462810541380040",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3462810541380040,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2244503393239792",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2244503393239792,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1550755169079581",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1550755169079581,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7363397239627559",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7363397239627559,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
