批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
618760,Janet一期会员邀请码,"		4706072323711365",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4706072323711365,已使用,u_58dca7eb25535_MQL8t0aT,证道心理何炫皓,"	2019-05-29 15:04:31",Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		7500780333873560",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7500780333873560,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6537579976040447",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6537579976040447,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		0587481719444141",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0587481719444141,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6892582252667137",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6892582252667137,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		7151968163514031",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7151968163514031,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		9244167694266643",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9244167694266643,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		8948639365515835",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8948639365515835,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		0701477320996425",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0701477320996425,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		3730124889947397",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3730124889947397,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		1995778078942196",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1995778078942196,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		9360608498872743",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9360608498872743,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		7484174964386345",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7484174964386345,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6162246235953480",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6162246235953480,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		9750509142006552",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9750509142006552,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6159612072507406",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6159612072507406,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
